"id","sector","interaction_date","interaction_subject","theme","company_id","investment_project_id","communication_channel","company_export_id","created_on","interaction_link","interaction_kind","modified_on","net_company_receipt","interaction_notes","service_delivery_status","service_delivery","policy_feedback_notes","policy_areas","policy_issue_types","were_countries_discussed","related_trade_agreement_names","export_barrier_type_names","export_barrier_notes","dbt_initiative","export_challenge_type","interaction_type"
"7afccb18-155a-44fd-930f-49107b998c12","Education and training : Educational technology","2024-10-18","Site visit planning","investment","14ec2485-0eb0-4e36-ab0c-690c67bea74d","ea3151bc-1a3a-44bd-98f1-160998d41a15","","","2025-01-09T14:44:15.019112","http://somedomain.com/7afccb18-155a-44fd-930f-49107b998c12","interaction","2026-02-05T14:44:15.019112","","Hand character hot eye debate population. Seven all different son.
Wrong want consumer.
Away hold significant among name outside skill. Grow find arm herself speech.","","Trade - Enquiry","Another off floor visit stay run. Measure give bar left. Maintain research long hundred century anyone stop.
Especially affect toward pick message. Event age specific able dark American.","['']","['']","","['']","","","","","Referral"
"72577b01-9d8d-4ca9-9f23-104c6d4dde56","Consumer and retail : Leisure and tourism","2024-04-21","Market entry overview","other","0fafddda-9958-4140-b1b9-bf65b7b962d9","d0dc237b-8a41-42df-ae0a-481baf06e872","Email/Website","","2024-08-11T14:44:15.019333","http://somedomain.com/72577b01-9d8d-4ca9-9f23-104c6d4dde56","interaction","2026-02-05T14:44:15.019333","","Lot add good reach they involve. Partner reveal since listen activity politics agency. Career tree two civil.","","Trade - Enquiry","Know guess focus allow. Image alone gun.
Whatever none small firm stage. Become issue network sound structure too allow.
Movie fight do region. Ability take themselves central.","['']","['']","true","['']","","","","",""
"d529c9c9-345a-44bc-8f1d-eff26f3e800a","Pharmaceuticals and biotechnology","2024-05-17","Investment opportunity review","other","56520d3c-71e0-45b7-9e69-2b7d86fb21f3","67c7535a-9f0f-4e70-b6c6-7777432edab6","","","2025-06-27T14:44:15.019456","http://somedomain.com/d529c9c9-345a-44bc-8f1d-eff26f3e800a","interaction","2026-02-05T14:44:15.019456","100","Choose energy director program newspaper politics. Research little recognize serious mind technology.","","Trade - Enquiry","Per central course son same name anything. Face order value force compare. Lawyer oil ever capital project particularly water.","['']","['International Climate']","","['']","","","","",""
"0d718fc9-40ac-4f77-b9d6-1fe9b72ab7a9","Defence","2025-04-25","Investment opportunity review","other","2d5b5eee-4c22-4c7b-8231-de892c0d19fc","6bea88ab-3ce9-45ed-a1dd-c26456b324cf","Video/Teleconf.","","2024-05-01T14:44:15.019553","http://somedomain.com/0d718fc9-40ac-4f77-b9d6-1fe9b72ab7a9","service_delivery","2026-02-05T14:44:15.019553","0.0","Answer edge foot. Many however ability today work.
Bill specific she yet. Style political audience staff.","","Trade - Enquiry","Force provide probably statement true. Tonight past fly sing. Down card name meet. Radio strong character wait night.","['']","['']","","['']","","","","","Advice"
"e3c5881b-a28f-4fbe-921a-3e52522898bb","Consumer and retail : Cosmetics and beauty","2025-09-18","Investment opportunity review","other","be640ecc-6340-4559-9cb0-3ec3a3e613a3","51bd7f9a-7ee9-4f17-9745-4f534445bdc3","Telephone","","2024-07-20T14:44:15.019660","http://somedomain.com/e3c5881b-a28f-4fbe-921a-3e52522898bb","interaction","2026-02-05T14:44:15.019660","","Specific former major peace campaign. Some likely new drug.
Truth senior able save often. Some score how huge officer range thousand forget.","Completed","Trade - Enquiry","Today experience magazine who.
Building forward could political low modern most partner. Whom person himself section or as.","['']","['']","","['']","","","","",""
"1ebd0375-1bca-4c28-adce-6b4380435ed6","Agriculture, horticulture, fisheries and pets","2025-05-19","Follow-up on proposal","export","67455f59-5e5c-4dbd-b4df-a4e8175b25ea","39423ecd-3651-4409-b7dc-247304ca378e","Video/Teleconf.","","2024-03-15T14:44:15.019767","http://somedomain.com/1ebd0375-1bca-4c28-adce-6b4380435ed6","service_delivery","2026-02-05T14:44:15.019767","500","Good main water must get east. Sit something happy know meeting even.
Collection seat list drop growth. Health probably floor determine certainly.","","Trade - Enquiry","Control charge opportunity support pull future natural. Street threat avoid cold recognize.
Choose American street. Name line turn gun. Free goal sea action likely.","['']","['']","true","['']","","","","","Contact - inbound"
"32c068a4-5fb7-4222-a53a-a7e7a0a40daa","Financial and professional services : Capital markets : Venture capital","2026-08-05","Follow-up on proposal","export","48118006-bb99-4c5d-a80a-8c26f763ef4e","","","","2025-05-03T14:44:15.019885","http://somedomain.com/32c068a4-5fb7-4222-a53a-a7e7a0a40daa","interaction","2026-02-05T14:44:15.019885","","Learn major after each window decide. Recognize challenge billion choice. Guess compare matter service. Arm yes difficult get own.","Completed","Trade - Enquiry","Class him audience fear without institution. Hard explain they positive fish difficult.
Lot third including pass expert state. With under item type.","['']","['']","false","['']","","","","","Advice"
"671ca723-3907-499d-a209-a154a8410454","Water","2024-10-13","UK expansion discussion","export","33550981-d3b3-43ae-8fc2-48ad71432081","","Face to Face","5c0a5abd-74b2-4f6b-81ab-af6639a02135","2024-03-15T14:44:15.019995","http://somedomain.com/671ca723-3907-499d-a209-a154a8410454","interaction","2026-02-05T14:44:15.019995","","Trouble draw piece rock development decade several buy. Remember full trial our research statement. Possible recently least store.","Completed","Export win","Various watch usually often. Red add recently he couple buy official. Property city price partner.
Half color environmental nature between any.","['']","['']","true","['']","","","","",""
"6557f866-a235-422f-bd66-cc24c9ac6625","Financial and professional services : Capital markets : Venture capital","2026-11-04","Quarterly check-in","investment","57dd8978-92e0-42c0-965a-7ab302be904b","","Face to Face","","2024-05-13T14:44:15.020087","http://somedomain.com/6557f866-a235-422f-bd66-cc24c9ac6625","interaction","2026-02-05T14:44:15.020087","250","Of enter adult past fire. Model score born culture. Decide family would between. See interview gas.","","Export win","Final southern himself figure hair. Left culture so floor collection rather senior.
Hit around not this might where land. Allow surface coach thousand.
Window finally accept it.","['']","['']","true","['']","","","","","Advice"
"fab7f4cd-bff3-4680-be4e-e5c83cbca060","Advanced engineering : Mechanical, electrical and process engineering","2026-08-24","Quarterly check-in","export","3ce5d536-aee9-40eb-9da2-a52e5e77f411","","","ce4fe0ab-f0f0-469c-a2b2-6577044befc3","2024-08-11T14:44:15.020204","http://somedomain.com/fab7f4cd-bff3-4680-be4e-e5c83cbca060","service_delivery","2026-02-05T14:44:15.020204","","Throughout air us dog industry factor. Church tell bag goal. Language strategy leave case growth.
Goal wonder picture green hit start oil. Treat kind new share writer. Whether will table feel a stop.","Current","Trade - Services","Design ability national across participant leader series nor. Type ground exist guy record federal his.
Degree vote couple according team. Recently shoulder serve life east.","['']","['']","false","['']","","","","",""
