"id","subject","detail","target_date","has_blocker","blocker_description","progress","created_on","modified_on","company_id"
"92afb2c2-8de4-428d-a3ca-7b1c6844e7e1","Draft action plan","Prepare materials and set up the working session agenda.",2026-01-21,"True","Awaiting client confirmation",87,"2025-12-20 02:06:39","2026-01-29 19:06:39","c635f2eb-c1c9-42c3-b178-8dd3ea8cf91d"
"2992cc6f-6f2b-46a1-8944-8322df9cf395","Coordinate delivery partners","Compile the latest notes and align next steps with the client.",2025-12-17,"False",,53,"2025-08-28 01:13:39","2025-09-11 05:13:39","255b5745-f85d-440f-a623-7e8a0b6faf39"
"bd721068-7475-4562-a899-b079957a8d4d","Confirm site options","Draft a short summary and share with stakeholders for feedback.",2025-11-28,"False",,66,"2025-08-20 14:14:39","2025-09-24 18:14:39","2a69f34c-c787-45d7-af11-d36a199324f1"
"ff45efd4-9bcf-414e-a20b-f7f30a80e8ee","Prepare investment proposal","Compile the latest notes and align next steps with the client.",2025-09-25,"False",,31,"2025-08-06 05:50:39","2025-08-11 00:50:39","c3325943-b1b2-423f-a525-b391b4998eb9"
"f1d1d093-6e7c-4683-895f-59b378cad947","Review financial model","Ensure all supporting documentation is complete and up to date.",2025-09-07,"False",,64,"2025-08-03 20:45:39","2025-08-22 01:45:39","cd30c64a-9d8b-4a99-bb5a-ce416220c347"
"316061a0-533e-4214-acb4-ac85e8cd8f01","Update project timeline","Compile the latest notes and align next steps with the client.",2025-12-06,"True","Resource constraints",95,"2025-09-01 06:47:39","2025-09-20 19:47:39","7da0bc54-c76f-4752-ada0-8443b738f92d"
"543b5202-1e91-4d8e-9c74-c73921e68062","Review financial model","Ensure all supporting documentation is complete and up to date.",2026-01-15,"False",,79,"2025-11-05 04:21:39","2025-12-19 16:21:39","a1ad7efc-5f31-4713-98ca-0c25f45ba0d6"
"8ce72fb4-8914-4a0e-8981-f97273c1dc9f","Coordinate delivery partners","Prepare materials and set up the working session agenda.",2025-12-28,"True","Resource constraints",44,"2025-10-22 19:43:39","2025-11-20 15:43:39","ce427bc5-92c3-4c30-be61-0a953eff0422"
"80372c3c-a216-4e82-b513-c9bd6bdb21fb","Validate project assumptions","Prepare materials and set up the working session agenda.",2026-02-01,"False",,42,"2025-11-26 06:30:39","2025-11-26 13:30:39","8e5ce3eb-2d8c-4463-b531-c4c192b3588f"
"a27b9b51-f965-4908-8b7b-67516bb552cd","Update project timeline","Draft a short summary and share with stakeholders for feedback.",2025-12-11,"False",,35,"2025-09-02 23:31:39","2025-09-20 01:31:39","6d0bfeed-e4ce-4aff-919a-df23532e166d"
"bc93dafb-a069-428e-bd0f-a40d3dd1adb0","Prepare investment proposal","Review progress and capture actions, owners, and deadlines.",2025-09-27,"False",,40,"2025-07-28 10:54:39","2025-09-11 23:54:39","57876db6-5f64-4521-91f3-f194bec65bf9"
"38c3349b-ce5e-4c94-b70c-50675af97b37","Confirm site options","Compile the latest notes and align next steps with the client.",2026-02-04,"False",,42,"2025-10-08 21:52:39","2025-11-14 07:52:39","48118006-bb99-4c5d-a80a-8c26f763ef4e"
"5d803a3b-1bca-4f87-9fa7-3e3befeddbd0","Coordinate delivery partners","Confirm requirements, risks, and assumptions with relevant teams.",2025-12-16,"False",,4,"2025-12-09 04:15:39","2025-12-18 09:15:39","f61e32b1-e625-470c-b7c8-f296184b320c"
"6dbd9f28-0818-4448-8ff6-4c8984375d71","Update project timeline","Ensure all supporting documentation is complete and up to date.",2026-01-04,"False",,28,"2025-12-21 11:09:39","2026-02-03 06:09:39","ba71f8d5-d0ba-4de5-ac5e-bf53fb1df7e1"
"d741d802-3a98-4ed4-ad6f-30592425a9e4","Schedule stakeholder workshop","Draft a short summary and share with stakeholders for feedback.",2026-03-06,"False",,1,"2026-01-08 13:49:39","2026-01-30 15:49:39","6e0786f1-5308-4df0-861f-acaa0aef2041"
"1deb6327-8aa9-4d5b-b036-d6a0ebcb23e6","Prepare investment proposal","Ensure all supporting documentation is complete and up to date.",2025-11-11,"False",,95,"2025-10-08 18:23:39","2025-11-15 02:23:39","14ec2485-0eb0-4e36-ab0c-690c67bea74d"
"b0d2163c-1f93-4816-8375-58baf42ae3f8","Prepare investment proposal","Review progress and capture actions, owners, and deadlines.",2025-12-02,"True","Data required from partner",87,"2025-09-09 22:35:39","2025-09-18 22:35:39","1935fe20-1de8-4ac5-8c7a-d9ae5be7b019"
"bab47487-c8b7-4cb2-8f86-ae43564a0fb1","Request internal approvals","Ensure all supporting documentation is complete and up to date.",2025-12-07,"False",,67,"2025-10-21 14:19:39","2025-11-30 01:19:39","f935536e-35fe-48f1-b867-fd0017b17ebb"
"8cda1e7d-6f6f-4bf9-a0d4-c92e4de73dc9","Arrange client follow-up","Compile the latest notes and align next steps with the client.",2025-11-10,"False",,60,"2025-09-26 08:07:39","2025-11-10 03:07:39","d0069bfe-8008-4640-aab8-34cac8fc01c9"
"47a337d2-c206-4db1-aef6-5dbd3cd72bb7","Collect required documents","Draft a short summary and share with stakeholders for feedback.",2026-01-24,"False",,30,"2025-12-05 21:56:39","2026-01-17 14:56:39","cd4e4e79-a06b-4607-9183-067b819a7493"
"fdc58c6b-c1d2-49c2-9cf3-d09c8c688ab1","Request internal approvals","Review progress and capture actions, owners, and deadlines.",2025-10-11,"False",,99,"2025-08-09 07:15:39","2025-09-12 19:15:39","005ba395-7bbb-4ad4-b490-755c4c96f1ba"
"a67ac0cf-cbc5-470e-b40f-0f9ca47a4f22","Arrange client follow-up","Review progress and capture actions, owners, and deadlines.",2026-04-10,"False",,9,"2025-12-24 02:35:39","2026-01-29 18:35:39","26ca4693-d545-4836-8bcf-0cf2c87d40f7"
"1eb4ba90-aef1-4d32-8005-dc7147a152fc","Assess incentives eligibility","Review progress and capture actions, owners, and deadlines.",2025-11-25,"False",,84,"2025-09-22 11:37:39","2025-10-23 03:37:39","0fafddda-9958-4140-b1b9-bf65b7b962d9"
"6935054e-0543-4c5d-97a2-45cbf3736183","Validate project assumptions","Review progress and capture actions, owners, and deadlines.",2025-11-26,"False",,85,"2025-09-01 11:31:39","2025-10-04 15:31:39","183085c3-f0af-4e20-a025-bdc5402498ba"
"2bd7f8f1-fb34-47cb-a97a-a016eb075634","Collect required documents","Confirm requirements, risks, and assumptions with relevant teams.",2025-08-24,"False",,2,"2025-08-11 14:03:39","2025-08-21 07:03:39","2bb6aadd-f3bb-417f-8aa8-da97841d5074"
"fa66d70a-a3ae-40e2-ae97-c84d370c384d","Coordinate delivery partners","Prepare materials and set up the working session agenda.",2025-11-14,"True","Awaiting client confirmation",82,"2025-10-24 03:37:39","2025-11-20 04:37:39","216f51f1-598d-49fc-9220-1e0e43bb953e"
"e9265205-dbb2-4af1-b036-85bd0eef24a5","Draft action plan","Ensure all supporting documentation is complete and up to date.",2026-03-24,"False",,99,"2026-01-10 23:01:39","2026-02-05 09:01:39","812862d4-efaa-4f21-8203-139cf7f7c92e"
"c4da3a35-3a09-4698-b64e-bb036a9d1946","Arrange client follow-up","Draft a short summary and share with stakeholders for feedback.",2025-11-05,"False",,92,"2025-07-27 15:42:39","2025-09-02 06:42:39","5c7469d1-2ff1-4f73-8b14-cd093188880d"
"b8fdce6c-989e-4fd6-b74b-c728d4c78ee5","Arrange client follow-up","Ensure all supporting documentation is complete and up to date.",2025-08-17,"False",,41,"2025-07-31 05:46:39","2025-08-10 12:46:39","be640ecc-6340-4559-9cb0-3ec3a3e613a3"
"dc55a1fc-77f3-4840-963d-b4382062d4cc","Draft action plan","Draft a short summary and share with stakeholders for feedback.",2026-02-25,"True","Pending legal review",52,"2026-01-04 04:59:39","2026-01-21 07:59:39","c8c49edc-19bd-4442-8df6-7e397688e5bf"
"b9c8254a-98e2-4825-aca2-0db20badd0e5","Arrange client follow-up","Compile the latest notes and align next steps with the client.",2025-11-26,"False",,15,"2025-09-22 13:15:39","2025-10-24 20:15:39","431fbef2-bf7a-4693-a55a-27365d93bd79"
"09f0049b-054e-44db-81dc-9508c72a83bb","Draft action plan","Ensure all supporting documentation is complete and up to date.",2025-09-27,"False",,13,"2025-09-01 02:14:39","2025-09-05 13:14:39","3f8d3958-882f-495c-99da-e0d6c6a7150d"
"6ce1e7e9-6b1d-4630-b4d3-e63ce8edd72c","Draft action plan","Compile the latest notes and align next steps with the client.",2026-04-02,"False",,47,"2026-01-01 04:58:39","2026-01-01 12:58:39","c5dcdf77-46ae-47b5-9c02-6b018885f4d2"
"db1668b0-4364-47f9-b28a-0f60d416ad79","Prepare investment proposal","Review progress and capture actions, owners, and deadlines.",2025-11-17,"False",,54,"2025-09-11 10:41:39","2025-10-01 02:41:39","2d5b5eee-4c22-4c7b-8231-de892c0d19fc"
"cbdf14c5-5439-47bc-b591-f505afef5514","Confirm site options","Prepare materials and set up the working session agenda.",2025-11-03,"True","Resource constraints",97,"2025-08-01 04:52:39","2025-08-20 13:52:39","d59399d7-7434-45f9-a588-5cce8fe9ab2f"
"b714dc74-80c0-4669-82c4-71c792ec44f2","Update project timeline","Compile the latest notes and align next steps with the client.",2025-11-15,"False",,6,"2025-09-19 18:48:39","2025-09-27 04:48:39","c449d886-c38c-429a-b89d-9b0cef6b154d"
"7afa1a89-e591-4bdb-9a73-1f0ec3376e63","Schedule stakeholder workshop","Prepare materials and set up the working session agenda.",2026-02-21,"True","Pending legal review",6,"2025-12-29 17:11:39","2026-02-03 00:11:39","67dd7fb3-ec73-4c2b-a18a-a2847cd98f40"
"22500a69-c123-44a8-abe2-67829d65184c","Draft action plan","Draft a short summary and share with stakeholders for feedback.",2025-08-26,"False",,31,"2025-08-07 00:42:39","2025-08-29 23:42:39","53eaa8ec-749b-4d68-969b-a424f5a78c12"
